Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
GRENKE FINANCE PLC,IE,Diversified Financials,Specialized Finance,A,6.9,8,4.7,4.7
"GRG Banking Equipment Co, Ltd",CN,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",B,2.7,2.8,3,4.9
"GRID DYNAMICS HOLDINGS, INC",US,Software & Services,IT Consulting & Other Services,B,2.6,3.8,2.2,5
GRIEG SEAFOOD ASA,NO,Food Products,Packaged Foods & Meats,AA,8.4,4.7,5.8,6.1
GRIFFON CORPORATION,US,Building Products,Building Products,BB,3.2,4.4,4.5,4.7
GRIFOLS ESCROW ISSUER SA,ES,Biotechnology,Biotechnology,BBB,5.2,8.7,4.7,4.2
GRIFOLS WORLDWIDE OPERATIONS LIMITED,IE,Biotechnology,Biotechnology,BBB,5.2,8.7,4.7,4.2
"GRIFOLS WORLDWIDE OPERATIONS USA, INC",US,Biotechnology,Biotechnology,BBB,5.2,8.7,4.7,4.2
"GRIZZLY MERGER SUB 1, LLC",US,Media & Entertainment,Cable & Satellite,BB,2.9,6.7,5.1,3.1
GROCERY OUTLET HOLDING CORP,US,Retail - Food & Staples,Food Retail,BB,4.1,1.6,4.4,4.4
GROEP BRUSSEL LAMBERT NV,BE,Diversified Financials,Multi-Sector Holdings,A,6.2,5,6.2,4
"GROUP 1 AUTOMOTIVE, INC",US,Retail - Consumer Discretionary,Automotive Retail,A,7.1,2.5,6.3,6.3
GROUPE AECON INC,CA,Construction & Engineering,Construction & Engineering,AA,8.3,3.7,5.6,6.7
GROUPE ALTUS LIMITEE,CA,Real Estate Management & Services,Real Estate Services,BB,4.2,3.1,4.3,6.5
GROUPE DES ASSURANCES DU CREDIT MUTUEL SA,FR,Banks,,AA,7.6,6.1,5.8,6.6
GROUPE GUILLIN SA,FR,Containers & Packaging,Metal & Glass Containers,B,1.7,6.4,4.3,2.5
GROUPE SNC-LAVALIN INC,CA,Construction & Engineering,Construction & Engineering,AA,8.5,4.2,8,5.7
GROUPE TDL CORPORATION,CA,Restaurants,Restaurants,BB,3.9,5.3,3.6,4.4
GROUPE WSP GLOBAL INC,CA,Construction & Engineering,Construction & Engineering,A,6.7,4,3.1,6.8
"GROUPON, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,BB,3.7,0.7,4.8,4.4
GROWTHPOINT PROPERTIES AUSTRALIA LIMITED,AU,Real Estate Management & Services,Diversified REITs,A,7.1,6,3.6,7.6
GROWTHPOINT PROPERTIES INTERNATIONAL (PTY) LTD,ZA,Real Estate Management & Services,Diversified REITs,AA,7.9,6.8,5.9,6.2
GROWTHPOINT PROPERTIES LIMITED,ZA,Real Estate Management & Services,Diversified REITs,AA,7.9,6.8,5.9,6.2
